zip_code,hospitalization_rate
10001,3.6
10002,10.6
10003,0.0
10004,0.0
10005,0.0
10006,0.0
10007,0.0
10009,1.7
10010,6.0
10011,4.0
10012,4.3
10013,6.9
10014,6.6
10016,2.0
10017,6.4
10018,8.5
10019,0.0
10021,4.4
10022,0.0
10023,3.2
10024,6.8
10025,5.5
10026,7.8
10027,9.5
10028,0.0
10029,8.9
10030,10.2
10031,6.8
10032,6.3
10033,10.3
10034,11.8
10035,5.7
10036,11.0
10037,14.4
10038,4.4
10039,7.4
10040,11.4
10044,0.0
10065,0.0
10069,15.9
10075,17.4
10128,3.4
10280,0.0
10282,0.0
10301,7.7
10302,16.2
10303,3.8
10304,2.4
10305,0.0
10306,5.7
10307,13.4
10308,6.7
10309,12.1
10310,17.1
10312,6.6
10314,10.8
10451,8.4
10452,18.6
10453,15.3
10454,13.2
10455,7.2
10456,11.8
10457,9.5
10458,8.5
10459,20.9
10460,10.2
10461,22.4
10462,9.3
10463,8.6
10464,0.0
10465,4.6
10466,8.4
10467,3.9
10468,18.0
10469,11.0
10470,13.3
10471,9.4
10472,19.1
10473,22.0
10474,0.0
10475,18.7
11004,0.0
11101,5.4
11102,30.0
11103,17.2
11104,3.9
11105,5.5
11106,16.0
11109,0.0
11201,1.6
11203,12.3
11204,22.1
11205,2.2
11206,16.1
11207,7.9
11208,9.4
11209,7.4
11210,28.9
11211,19.7
11212,8.1
11213,6.2
11214,11.9
11215,1.4
11216,9.1
11217,0.0
11218,29.7
11219,38.9
11220,10.6
11221,7.4
11222,5.5
11223,27.0
11224,13.0
11225,10.4
11226,13.4
11228,20.0
11229,22.7
11230,36.0
11231,5.4
11232,14.8
11233,8.1
11234,9.6
11235,12.8
11236,11.3
11237,8.3
11238,16.8
11239,15.4
11354,14.8
11355,12.7
11356,13.1
11357,2.6
11358,8.3
11360,15.8
11361,0.0
11362,5.5
11363,0.0
11364,2.8
11365,11.4
11366,0.0
11367,14.8
11368,14.5
11369,5.9
11370,9.4
11372,8.2
11373,6.5
11374,19.3
11375,7.0
11377,10.7
11378,8.3
11379,8.2
11385,7.7
11411,0.0
11412,7.9
11413,9.3
11414,10.6
11415,5.3
11416,11.4
11417,6.4
11418,13.3
11419,14.4
11420,8.4
11421,5.0
11422,3.1
11423,22.5
11426,14.9
11427,4.2
11428,5.4
11429,18.0
11432,11.5
11433,13.7
11434,10.5
11435,17.1
11436,29.9
11691,6.0
11692,4.8
11693,15.8
11694,0.0
11697,88.4
