zip_code,hospitalization_rate
10001,10.9
10002,35.8
10003,11.1
10004,134.6
10005,22.8
10006,0.0
10007,14.3
10009,22.7
10010,9.0
10011,14.1
10012,4.3
10013,24.3
10014,9.9
10016,19.6
10017,6.4
10018,25.4
10019,13.8
10021,34.9
10022,32.4
10023,8.1
10024,24.0
10025,38.2
10026,25.9
10027,26.8
10028,6.3
10029,29.4
10030,37.6
10031,44.1
10032,52.3
10033,44.4
10034,21.3
10035,28.4
10036,29.4
10037,9.6
10038,39.4
10039,22.1
10040,52.3
10044,25.7
10065,21.5
10069,15.9
10075,0.0
10128,17.1
10280,0.0
10282,0.0
10301,66.8
10302,75.7
10303,64.1
10304,74.0
10305,56.0
10306,151.5
10307,80.5
10308,57.0
10309,51.6
10310,72.5
10312,63.9
10314,85.4
10451,57.0
10452,47.9
10453,44.5
10454,39.7
10455,35.8
10456,34.3
10457,61.0
10458,42.3
10459,62.7
10460,44.2
10461,50.9
10462,55.8
10463,48.6
10464,23.3
10465,32.5
10466,28.0
10467,37.2
10468,27.0
10469,24.8
10470,40.0
10471,33.0
10472,45.6
10473,50.8
10474,25.1
10475,11.7
11004,31.7
11101,16.3
11102,36.6
11103,20.0
11104,23.6
11105,49.7
11106,32.1
11109,0.0
11201,11.2
11203,38.2
11204,28.5
11205,28.7
11206,20.8
11207,48.3
11208,70.1
11209,37.0
11210,36.5
11211,28.5
11212,60.8
11213,38.7
11214,42.0
11215,14.4
11216,16.4
11217,14.7
11218,24.3
11219,47.7
11220,30.7
11221,23.3
11222,8.3
11223,44.2
11224,47.5
11225,17.4
11226,22.6
11228,15.6
11229,37.1
11230,66.4
11231,13.4
11232,44.3
11233,30.9
11234,27.6
11235,55.0
11236,24.7
11237,22.9
11238,18.7
11239,69.1
11354,46.4
11355,35.5
11356,48.2
11357,59.4
11358,38.9
11360,36.8
11361,22.8
11362,38.7
11363,14.8
11364,25.2
11365,32.0
11366,42.2
11367,27.0
11368,36.2
11369,65.4
11370,50.4
11372,52.7
11373,49.1
11374,41.1
11375,47.7
11377,35.7
11378,19.4
11379,35.5
11385,33.8
11411,28.1
11412,49.9
11413,16.2
11414,38.8
11415,42.4
11416,30.3
11417,51.5
11418,53.2
11419,33.0
11420,29.3
11421,35.0
11422,46.3
11423,57.8
11426,54.6
11427,46.7
11428,64.6
11429,46.7
11432,67.5
11433,46.5
11434,34.5
11435,41.1
11436,34.9
11691,35.9
11692,19.0
11693,31.6
11694,9.6
11697,59.0
