zip_code,hospitalization_rate
10001,14.5
10002,22.6
10003,9.3
10004,0.0
10005,0.0
10006,0.0
10007,0.0
10009,10.5
10010,6.0
10011,2.0
10012,0.0
10013,6.9
10014,3.3
10016,9.8
10017,12.8
10018,8.5
10019,6.9
10021,2.2
10022,9.7
10023,3.2
10024,0.0
10025,16.4
10026,28.4
10027,18.9
10028,10.6
10029,40.9
10030,41.0
10031,22.0
10032,19.0
10033,12.0
10034,9.5
10035,25.5
10036,7.3
10037,33.7
10038,21.9
10039,58.9
10040,18.2
10044,17.1
10065,3.6
10069,0.0
10075,8.7
10128,8.5
10280,0.0
10282,0.0
10301,20.6
10302,32.5
10303,18.9
10304,38.2
10305,16.3
10306,24.6
10307,20.1
10308,6.7
10309,18.2
10310,29.9
10312,21.3
10314,18.4
10451,27.4
10452,17.3
10453,17.8
10454,29.1
10455,26.3
10456,21.5
10457,25.8
10458,19.3
10459,18.8
10460,35.7
10461,24.4
10462,19.9
10463,14.3
10464,23.3
10465,18.6
10466,15.4
10467,14.7
10468,25.7
10469,19.3
10470,13.3
10471,9.4
10472,33.8
10473,20.3
10474,16.7
10475,37.4
11004,21.1
11101,8.1
11102,30.0
11103,14.3
11104,11.8
11105,41.4
11106,29.4
11109,17.4
11201,17.7
11203,32.7
11204,16.9
11205,22.1
11206,19.6
11207,33.7
11208,25.1
11209,19.3
11210,18.3
11211,9.8
11212,36.5
11213,34.1
11214,26.9
11215,5.7
11216,20.1
11217,9.8
11218,14.9
11219,6.7
11220,13.7
11221,23.3
11222,19.4
11223,17.2
11224,38.9
11225,26.1
11226,23.6
11228,17.8
11229,16.8
11230,19.1
11231,16.1
11232,14.8
11233,30.9
11234,12.8
11235,29.4
11236,24.7
11237,12.5
11238,26.1
11239,46.1
11354,27.8
11355,29.2
11356,21.9
11357,7.7
11358,16.7
11360,5.3
11361,7.6
11362,0.0
11363,0.0
11364,8.4
11365,13.7
11366,14.1
11367,24.6
11368,29.0
11369,29.7
11370,22.0
11372,24.7
11373,22.9
11374,29.0
11375,14.0
11377,25.0
11378,24.9
11379,21.8
11385,19.3
11411,9.4
11412,26.2
11413,34.7
11414,38.8
11415,26.5
11416,30.3
11417,16.1
11418,10.6
11419,16.5
11420,37.6
11421,25.0
11422,15.4
11423,25.7
11426,14.9
11427,17.0
11428,37.7
11429,46.7
11432,13.2
11433,27.4
11434,18.0
11435,17.1
11436,20.0
11691,37.4
11692,33.3
11693,23.7
11694,0.0
11697,29.5
