zip_code,hospitalization_rate
10001,54.3
10002,41.2
10003,11.1
10004,33.6
10005,11.4
10006,0.0
10007,14.3
10009,12.2
10010,30.0
10011,12.1
10012,17.3
10013,13.9
10014,6.6
10016,13.7
10017,0.0
10018,25.4
10019,25.3
10021,15.3
10022,16.2
10023,11.3
10024,18.8
10025,31.7
10026,31.0
10027,52.1
10028,16.9
10029,58.8
10030,44.4
10031,50.8
10032,53.9
10033,46.1
10034,33.1
10035,93.6
10036,22.0
10037,81.8
10038,21.9
10039,47.8
10040,61.4
10044,77.1
10065,7.2
10069,47.7
10075,26.0
10128,15.4
10280,10.7
10282,0.0
10301,64.3
10302,64.9
10303,75.4
10304,76.4
10305,60.7
10306,47.3
10307,13.4
10308,16.8
10309,24.3
10310,29.9
10312,24.6
10314,48.6
10451,52.8
10452,69.1
10453,55.9
10454,60.8
10455,66.8
10456,70.8
10457,52.9
10458,64.1
10459,48.0
10460,73.0
10461,53.0
10462,50.5
10463,65.7
10464,0.0
10465,30.1
10466,58.9
10467,90.1
10468,84.8
10469,74.4
10470,46.7
10471,94.2
10472,70.6
10473,57.5
10474,50.1
10475,79.6
11004,42.2
11101,21.7
11102,46.6
11103,25.8
11104,23.6
11105,19.3
11106,29.4
11109,0.0
11201,28.9
11203,53.2
11204,48.0
11205,30.9
11206,33.4
11207,55.0
11208,55.5
11209,37.0
11210,32.0
11211,40.3
11212,75.7
11213,37.2
11214,47.4
11215,14.4
11216,16.4
11217,24.5
11218,52.7
11219,72.2
11220,56.0
11221,30.7
11222,24.9
11223,27.0
11224,92.9
11225,38.3
11226,59.6
11228,22.2
11229,29.9
11230,58.5
11231,16.1
11232,25.8
11233,43.1
11234,37.2
11235,52.4
11236,44.3
11237,33.3
11238,26.1
11239,84.5
11354,92.7
11355,52.0
11356,35.1
11357,49.1
11358,13.9
11360,31.5
11361,45.5
11362,22.1
11363,14.8
11364,11.2
11365,38.8
11366,21.1
11367,41.8
11368,65.2
11369,116.0
11370,28.3
11372,72.5
11373,54.6
11374,48.3
11375,35.1
11377,38.1
11378,27.7
11379,40.9
11385,26.1
11411,37.4
11412,34.1
11413,55.5
11414,38.8
11415,63.6
11416,49.3
11417,29.0
11418,37.2
11419,61.8
11420,31.4
11421,30.0
11422,46.3
11423,48.2
11426,34.7
11427,33.9
11428,26.9
11429,61.1
11432,80.7
11433,52.0
11434,49.4
11435,46.2
11436,44.9
11691,98.7
11692,95.1
11693,23.7
11694,57.7
11697,59.0
