zip_code,hospitalization_rate
10001,14.5
10002,17.3
10003,7.4
10004,0.0
10005,34.3
10006,0.0
10007,0.0
10009,5.2
10010,9.0
10011,14.1
10012,8.6
10013,6.9
10014,13.2
10016,9.8
10017,12.8
10018,17.0
10019,9.2
10021,4.4
10022,12.9
10023,3.2
10024,3.4
10025,6.5
10026,12.9
10027,11.0
10028,2.1
10029,17.9
10030,17.1
10031,18.6
10032,14.3
10033,8.5
10034,14.2
10035,17.0
10036,14.7
10037,14.4
10038,4.4
10039,14.7
10040,25.0
10044,0.0
10065,0.0
10069,15.9
10075,0.0
10128,3.4
10280,0.0
10282,35.9
10301,15.4
10302,16.2
10303,15.1
10304,11.9
10305,7.0
10306,5.7
10307,6.7
10308,6.7
10309,6.1
10310,17.1
10312,9.8
10314,15.1
10451,19.0
10452,18.6
10453,17.8
10454,23.8
10455,26.3
10456,24.7
10457,27.1
10458,16.9
10459,23.0
10460,18.7
10461,14.3
10462,21.2
10463,7.1
10464,0.0
10465,7.0
10466,7.0
10467,24.5
10468,18.0
10469,11.0
10470,13.3
10471,4.7
10472,30.9
10473,11.8
10474,8.4
10475,18.7
11004,5.3
11101,5.4
11102,13.3
11103,14.3
11104,3.9
11105,5.5
11106,13.4
11109,17.4
11201,6.4
11203,8.2
11204,14.3
11205,8.8
11206,24.2
11207,18.0
11208,12.6
11209,7.4
11210,13.7
11211,14.8
11212,24.3
11213,12.4
11214,17.2
11215,4.3
11216,14.6
11217,4.9
11218,13.5
11219,17.8
11220,27.5
11221,7.4
11222,5.5
11223,11.0
11224,19.5
11225,10.4
11226,16.4
11228,11.1
11229,16.8
11230,14.6
11231,8.0
11232,25.8
11233,14.8
11234,6.4
11235,11.5
11236,10.3
11237,16.7
11238,9.3
11239,30.7
11354,13.0
11355,21.6
11356,13.1
11357,5.2
11358,2.8
11360,5.3
11361,11.4
11362,0.0
11363,14.8
11364,0.0
11365,9.1
11366,14.1
11367,22.1
11368,29.0
11369,32.7
11370,9.4
11372,26.4
11373,24.0
11374,7.2
11375,8.4
11377,10.7
11378,8.3
11379,5.5
11385,10.6
11411,9.4
11412,7.9
11413,9.3
11414,21.2
11415,26.5
11416,11.4
11417,16.1
11418,13.3
11419,12.4
11420,10.5
11421,15.0
11422,18.5
11423,16.1
11426,0.0
11427,0.0
11428,0.0
11429,3.6
11432,13.2
11433,27.4
11434,9.0
11435,10.3
11436,34.9
11691,12.0
11692,9.5
11693,0.0
11694,14.4
11697,29.5
