zip_code,hospitalization_rate
10001,7.2
10002,13.3
10003,5.6
10004,0.0
10005,11.4
10006,0.0
10007,0.0
10009,8.7
10010,6.0
10011,6.0
10012,0.0
10013,3.5
10014,9.9
10016,9.8
10017,19.2
10018,17.0
10019,16.1
10021,2.2
10022,3.2
10023,1.6
10024,6.8
10025,8.7
10026,7.8
10027,18.9
10028,2.1
10029,17.9
10030,20.5
10031,15.2
10032,34.9
10033,25.6
10034,21.3
10035,36.9
10036,18.4
10037,24.0
10038,8.7
10039,18.4
10040,20.5
10044,8.6
10065,14.3
10069,15.9
10075,13.0
10128,3.4
10280,0.0
10282,0.0
10301,12.9
10302,10.8
10303,18.9
10304,7.2
10305,16.3
10306,20.8
10307,6.7
10308,0.0
10309,0.0
10310,17.1
10312,1.6
10314,18.4
10451,21.1
10452,23.9
10453,28.0
10454,26.4
10455,14.3
10456,16.1
10457,20.3
10458,20.5
10459,27.2
10460,27.2
10461,22.4
10462,22.6
10463,18.6
10464,0.0
10465,20.9
10466,18.2
10467,29.4
10468,24.4
10469,16.5
10470,13.3
10471,14.1
10472,19.1
10473,18.6
10474,8.4
10475,32.8
11004,10.6
11101,13.6
11102,13.3
11103,5.7
11104,0.0
11105,5.5
11106,8.0
11109,17.4
11201,8.0
11203,23.2
11204,23.4
11205,26.5
11206,13.8
11207,31.4
11208,22.0
11209,16.3
11210,27.4
11211,14.8
11212,39.2
11213,17.0
11214,22.6
11215,5.7
11216,9.1
11217,12.2
11218,24.3
11219,34.4
11220,27.5
11221,16.0
11222,13.8
11223,13.5
11224,47.5
11225,7.0
11226,25.7
11228,15.6
11229,16.8
11230,22.5
11231,8.0
11232,36.9
11233,18.8
11234,18.1
11235,20.5
11236,18.5
11237,16.7
11238,13.1
11239,69.1
11354,37.1
11355,24.1
11356,13.1
11357,20.7
11358,11.1
11360,5.3
11361,7.6
11362,16.6
11363,29.7
11364,2.8
11365,16.0
11366,14.1
11367,14.8
11368,30.8
11369,23.8
11370,25.2
11372,28.0
11373,20.7
11374,16.9
11375,12.6
11377,14.3
11378,8.3
11379,19.1
11385,11.6
11411,4.7
11412,10.5
11413,16.2
11414,3.5
11415,37.1
11416,34.1
11417,16.1
11418,16.0
11419,20.6
11420,14.6
11421,25.0
11422,30.9
11423,22.5
11426,5.0
11427,0.0
11428,32.3
11429,14.4
11432,24.7
11433,21.9
11434,13.5
11435,24.0
11436,10.0
11691,31.4
11692,23.8
11693,15.8
11694,9.6
11697,59.0
