zip_code,hospitalization_rate
10001,54.3
10002,154.0
10003,29.6
10004,134.6
10005,0.0
10006,0.0
10007,14.3
10009,70.0
10010,33.0
10011,40.2
10012,25.9
10013,34.7
10014,26.4
10016,43.2
10017,76.9
10018,25.4
10019,62.0
10021,58.9
10022,48.5
10023,27.5
10024,36.0
10025,55.7
10026,72.4
10027,42.6
10028,25.3
10029,98.4
10030,82.0
10031,105.0
10032,103.1
10033,87.2
10034,71.0
10035,141.9
10036,62.4
10037,129.8
10038,78.7
10039,95.7
10040,86.4
10044,34.3
10065,50.2
10069,111.4
10075,52.1
10128,51.2
10280,32.1
10282,53.8
10301,131.1
10302,183.9
10303,86.8
10304,174.3
10305,158.7
10306,161.0
10307,67.1
10308,93.9
10309,130.5
10310,140.8
10312,98.3
10314,148.1
10451,82.3
10452,99.7
10453,113.1
10454,134.8
10455,83.5
10456,103.0
10457,103.1
10458,106.4
10459,100.3
10460,117.2
10461,112.0
10462,100.9
10463,100.0
10464,23.3
10465,109.0
10466,70.1
10467,88.2
10468,99.0
10469,97.8
10470,120.1
10471,56.5
10472,122.1
10473,148.9
10474,91.9
10475,81.9
11004,105.5
11101,67.9
11102,123.1
11103,54.4
11104,94.4
11105,93.9
11106,61.5
11109,17.4
11201,33.7
11203,91.4
11204,83.0
11205,59.6
11206,69.2
11207,105.6
11208,135.0
11209,81.5
11210,63.9
11211,47.2
11212,102.7
11213,71.2
11214,112.1
11215,33.0
11216,65.7
11217,26.9
11218,98.7
11219,77.7
11220,92.0
11221,67.5
11222,27.7
11223,137.4
11224,177.2
11225,52.2
11226,56.5
11228,91.1
11229,118.5
11230,145.1
11231,37.5
11232,62.8
11233,67.3
11234,91.4
11235,216.1
11236,70.0
11237,56.2
11238,54.2
11239,207.3
11354,113.1
11355,150.9
11356,70.1
11357,59.4
11358,72.2
11360,126.0
11361,75.8
11362,82.9
11363,133.6
11364,67.2
11365,63.9
11366,77.4
11367,100.8
11368,93.3
11369,127.9
11370,88.1
11372,103.8
11373,100.4
11374,99.0
11375,67.4
11377,110.7
11378,63.6
11379,84.6
11385,63.7
11411,46.8
11412,49.9
11413,62.5
11414,119.9
11415,68.9
11416,140.2
11417,99.9
11418,125.0
11419,154.6
11420,102.4
11421,114.9
11422,108.1
11423,102.8
11426,94.2
11427,63.6
11428,86.1
11429,107.9
11432,144.8
11433,90.4
11434,106.3
11435,106.1
11436,134.7
11691,94.2
11692,47.6
11693,71.0
11694,57.7
11697,147.4
