zip_code,hospitalization_rate
10001,10.9
10002,9.3
10003,9.3
10004,0.0
10005,11.4
10006,0.0
10007,0.0
10009,5.2
10010,9.0
10011,6.0
10012,8.6
10013,0.0
10014,13.2
10016,7.9
10017,0.0
10018,8.5
10019,9.2
10021,0.0
10022,6.5
10023,8.1
10024,1.7
10025,10.9
10026,5.2
10027,12.6
10028,8.4
10029,23.0
10030,13.7
10031,15.2
10032,19.0
10033,20.5
10034,16.6
10035,5.7
10036,22.0
10037,24.0
10038,13.1
10039,11.0
10040,9.1
10044,8.6
10065,3.6
10069,0.0
10075,13.0
10128,5.1
10280,0.0
10282,0.0
10301,36.0
10302,32.5
10303,26.4
10304,21.5
10305,16.3
10306,32.2
10307,13.4
10308,23.5
10309,18.2
10310,8.5
10312,16.4
10314,21.6
10451,29.6
10452,6.6
10453,24.1
10454,15.9
10455,14.3
10456,11.8
10457,19.0
10458,14.5
10459,20.9
10460,13.6
10461,22.4
10462,30.5
10463,8.6
10464,0.0
10465,23.2
10466,11.2
10467,11.8
10468,16.7
10469,19.3
10470,13.3
10471,9.4
10472,14.7
10473,20.3
10474,8.4
10475,16.4
11004,10.6
11101,8.1
11102,33.3
11103,11.4
11104,3.9
11105,11.1
11106,16.0
11109,0.0
11201,6.4
11203,13.6
11204,57.1
11205,17.6
11206,15.0
11207,15.7
11208,14.6
11209,25.2
11210,39.6
11211,36.4
11212,9.5
11213,21.7
11214,31.2
11215,4.3
11216,7.3
11217,22.0
11218,40.5
11219,58.8
11220,20.1
11221,16.0
11222,5.5
11223,42.9
11224,25.9
11225,8.7
11226,13.4
11228,20.0
11229,27.5
11230,65.2
11231,13.4
11232,18.5
11233,9.4
11234,22.3
11235,40.9
11236,18.5
11237,16.7
11238,9.3
11239,53.8
11354,22.3
11355,11.4
11356,21.9
11357,20.7
11358,16.7
11360,5.3
11361,11.4
11362,16.6
11363,0.0
11364,11.2
11365,13.7
11366,21.1
11367,32.0
11368,18.1
11369,11.9
11370,3.1
11372,23.1
11373,15.3
11374,21.7
11375,22.5
11377,17.8
11378,22.1
11379,21.8
11385,12.5
11411,32.7
11412,21.0
11413,9.3
11414,10.6
11415,15.9
11416,49.3
11417,3.2
11418,16.0
11419,18.6
11420,18.8
11421,15.0
11422,12.3
11423,28.9
11426,9.9
11427,29.7
11428,32.3
11429,14.4
11432,28.0
11433,13.7
11434,16.5
11435,12.0
11436,15.0
11691,28.4
11692,9.5
11693,0.0
11694,0.0
11697,0.0
